"rep","method","rG","r12","r13","r23","rI1","rI2","rI3","eG","e12","e13","e23","eI1","eI2","eI3","time","error"
58,"PPD",4,1,1,4,0,0,3,0.0981250586631238,0.0751431342182675,0.0893945229902269,0.215874603772771,1,1,0.0697271856856067,602.513,NA
58,"BIDIFAC+",4,1,5,7,1,1,12,0.227770516962394,0.037493563552485,0.586038354915538,0.107461408443089,0.390144414153492,0.999849368570349,0.172767220843421,1487.766,NA
59,"PPD",4,1,1,3,0,1,4,0.168073847487323,0.294632364523134,0.135193966584988,0.179468502270524,1,0.765236605673204,0.0467459799983683,615.536,NA
59,"BIDIFAC+",3,1,5,8,2,1,12,0.220472416552185,0.0381866611406526,0.520963567183068,0.111161680651719,0.391777451482764,0.99886667155542,0.174115904652819,1485.585,NA
60,"PPD",4,1,1,4,0,0,3,0.0870085349756816,0.0360804148169005,0.0773417402682695,0.237703168452324,1,1,0.067442930320339,598.542,NA
60,"BIDIFAC+",4,1,4,7,2,1,12,0.238408359077245,0.0365837158981387,0.608773190526941,0.116934997315457,0.379370849672569,0.999213138000246,0.170789374425198,1600.26,NA
61,"PPD",4,1,1,3,0,1,4,0.411788365092102,1.04566108654334,0.641790974058827,0.182700533012967,1,0.797645214306794,0.108293636702615,1076.734,NA
61,"BIDIFAC+",4,1,4,9,2,1,11,0.221635662575394,0.0388795204973215,0.526388740330312,0.112112687503321,0.385661375736129,0.998688336565233,0.176485426235135,2102.566,NA
62,"PPD",4,0,1,4,1,1,3,0.409252867794657,1,0.216169113510009,0.284212363065339,0.253244307548263,0.938290363682315,0.0680693185153792,598.607,NA
62,"BIDIFAC+",3,2,5,8,1,1,12,0.216849093958663,0.03824419214702,0.530496881985477,0.106084961346625,0.383512202212747,0.99936670303562,0.172149532525772,1396.384,NA
63,"PPD",4,1,1,3,0,1,4,0.0628727772406865,0.0243740560117182,0.0977005073902541,0.17539297638448,1,0.807136314166033,0.0524847328397953,599.495,NA
63,"BIDIFAC+",4,1,4,8,1,1,12,0.223749762858058,0.037220777206978,0.592276630160731,0.106523669424908,0.396088708308733,0.999985942487247,0.169274384331508,2384.589,NA
64,"PPD",4,1,1,3,0,1,4,0.0568609528387398,0.0289190751434371,0.0861272444249675,0.185030831153879,1,0.768029711770712,0.0482949336051915,605.803,NA
64,"BIDIFAC+",4,1,4,7,2,1,12,0.218195173935899,0.0393700249534009,0.52953198061385,0.106558736678534,0.370349752793845,0.999706691413972,0.175535951797284,1591.143,NA
65,"PPD",4,1,1,3,0,1,4,0.279037779217401,0.616791552097513,0.164485404327517,0.178620760308985,1,0.83734959003971,0.0563352772291823,600.393,NA
65,"BIDIFAC+",3,1,4,8,1,1,12,0.207341221561692,0.0372018513641112,0.46551843092504,0.106468144437023,0.358715936157982,0.998796360827737,0.179955719313656,1625.592,NA
66,"PPD",4,1,1,2,0,2,5,0.0703813495645442,0.0154335270750444,0.0816630217834229,0.0217273276096612,1,0.45131869224088,0.0250920820950934,1113.054,NA
66,"BIDIFAC+",3,1,4,7,2,1,12,0.226154996045593,0.0377760362560149,0.596405713650129,0.110195907718816,0.380100911096597,0.999650429771548,0.16796918372929,2314.728,NA
67,"PPD",4,1,1,4,0,0,3,0.0790602119317663,0.023462099657084,0.0962652344418821,0.235117199653692,1,1,0.0664590772058455,604.11,NA
67,"BIDIFAC+",4,1,5,8,2,1,12,0.210468773397445,0.0375784256809992,0.487537649822186,0.104800998826417,0.360389889543369,0.998750050096475,0.177908202362777,1524.58,NA
68,"PPD",4,1,1,3,0,1,4,0.385701485738443,0.930727459402045,0.0780770997952001,0.183230608577182,1,0.797309565431564,0.0517081101947741,1120.969,NA
68,"BIDIFAC+",4,2,4,7,1,1,12,0.227745800646864,0.0349713081424469,0.584006485446761,0.112207666589379,0.378107158524001,0.999966628868308,0.176276633168061,2833.039,NA
69,"PPD",4,1,1,3,0,1,4,0.0779266362989765,0.0671786187172708,0.106718442128446,0.154192826866438,1,0.729671366191734,0.0486448455449637,608.154,NA
69,"BIDIFAC+",4,1,5,7,2,1,12,0.22806509997391,0.0388246859825262,0.557825213145966,0.116397329377035,0.385286776034726,0.998828145401719,0.170927342895841,1530.571,NA
70,"PPD",4,1,1,4,0,0,3,0.0788630303813526,0.0209415063622148,0.0743376350074043,0.238613998797776,1,1,0.0667462039191071,603.963,NA
70,"BIDIFAC+",4,1,4,7,1,1,11,0.211423563358366,0.0362550696783348,0.451815345542282,0.108657883807393,0.366699580094609,0.99979581522764,0.179639939131633,1738.324,NA
