"rep","d","ang","ang_deg","method","rJ","rI1","rI2","eJ1","eJ2","eI1","eI2","time","error"
19,0.25,0,0,"PPD",4,2,5,0.745799779432609,0.324293813985663,0.941742758036405,0.212818014292213,113.924,NA
20,0.25,0,0,"PPD",4,2,5,0.746581806973035,0.328518755388774,0.9337845836751,0.21467746586765,204.581,NA
21,0.25,0,0,"PPD",4,2,5,0.761032071914386,0.318327867342338,0.925693140370527,0.213875506798847,202.128,NA
22,0.25,0,0,"PPD",4,2,5,0.748017601327565,0.328077765029776,0.931191055251411,0.219214040239826,112.968,NA
23,0.25,0,0,"PPD",4,2,5,0.744612384243819,0.339228478857394,0.938107873612987,0.218088851336405,112.852,NA
24,0.25,0,0,"PPD",4,2,5,0.738959642148484,0.323577652028519,0.940505146362704,0.23082426807987,120.703,NA
25,0.25,0,0,"PPD",4,2,5,0.747727818580367,0.325457054586582,0.935763635635102,0.223051953228652,112.19,NA
26,0.25,0,0,"PPD",4,2,5,0.727057453417146,0.325452967461233,0.933220964497294,0.224309174804114,116.678,NA
27,0.25,0,0,"PPD",4,2,5,0.761082371879383,0.335612322203913,0.93634586123529,0.219514623378108,142.208,NA
28,0.25,0,0,"PPD",4,2,5,0.744318894135041,0.332868539869137,0.932862049470546,0.224927615841951,111.081,NA
29,0.25,0,0,"PPD",4,2,5,0.715849495078436,0.321378971492626,0.94052740425366,0.219145095279965,161.305,NA
30,0.25,0,0,"PPD",4,2,5,0.746062657199053,0.316982367766772,0.931525998218984,0.210152461144375,205.338,NA
31,0.25,0,0,"PPD",4,2,5,0.734267184768771,0.32841455462698,0.934758163962214,0.210322428979324,112.727,NA
32,0.25,0,0,"PPD",4,2,5,0.753508888158496,0.324886647346362,0.938691875239037,0.211951765499925,177.313,NA
33,0.25,0,0,"PPD",4,2,5,0.741372694183657,0.309389281027166,0.937784607254743,0.211460011685777,170.656,NA
34,0.25,0,0,"PPD",4,2,5,0.741186963112299,0.334489257444639,0.933136872016744,0.212074496948938,116.63,NA
35,0.25,0,0,"PPD",4,2,5,0.747722152331476,0.329572991642481,0.936131235953389,0.206737372077092,112.331,NA
36,0.25,0,0,"PPD",4,2,5,0.730084143747149,0.33364111779356,0.936411917893601,0.221265155693781,147.015,NA
37,0.25,0,0,"PPD",4,2,5,0.755562938327536,0.32354379112937,0.93086991721594,0.212358257189447,199.874,NA
38,0.25,0,0,"PPD",4,2,5,0.734153654773316,0.322116615508433,0.927397854113097,0.208196109587911,178.756,NA
39,0.25,0,0,"PPD",4,2,5,0.750243523097541,0.333289074833775,0.93232242345779,0.215676899947221,113.778,NA
40,0.25,0,0,"PPD",4,2,5,0.775405402128578,0.328145511602367,0.948845090297222,0.223465298403164,152.87,NA
41,0.25,0,0,"PPD",4,2,5,0.731048641734001,0.319242669520519,0.929217712100569,0.218057959112431,115.435,NA
42,0.25,0,0,"PPD",4,2,5,0.725736827638747,0.323105616249502,0.944464544563829,0.214449085784413,111.267,NA
43,0.25,0,0,"PPD",5,6,4,0.893096573210979,0.460638831111432,1.17582186835532,0.216505013373773,134.109,NA
44,0.25,0,0,"PPD",4,2,5,0.732248668947174,0.330694659394868,0.933955873186332,0.20722126874315,112.818,NA
45,0.25,0,0,"PPD",4,2,5,0.746393042219402,0.312331706893867,0.932383128820484,0.217466164094492,110.731,NA
46,0.25,0,0,"PPD",4,2,5,0.739077813851686,0.328449798864582,0.929616611639739,0.21266663055946,111.748,NA
47,0.25,0,0,"PPD",4,2,5,0.737903129598219,0.315553010020212,0.937832605372346,0.218498990448014,173.15,NA
48,0.25,0,0,"PPD",4,2,5,0.743909340260162,0.32912946152871,0.935171146231727,0.212653671050841,127.198,NA
49,0.25,0,0,"PPD",4,2,5,0.72881329733128,0.325844139061981,0.944296745059092,0.218115758467587,154.13,NA
50,0.25,0,0,"PPD",4,2,5,0.744755230859502,0.316654080731466,0.944274459190297,0.212824239534928,113.15,NA
51,0.25,0,0,"PPD",4,2,5,0.746857055205118,0.323686547334385,0.924594318919788,0.201933927631828,202.626,NA
52,0.25,0,0,"PPD",4,2,5,0.760062650538903,0.330052451715222,0.946777097857323,0.224203438043271,154.848,NA
53,0.25,0,0,"PPD",4,2,5,0.737315969714943,0.319929013704231,0.927816789831061,0.21738116354817,204.977,NA
54,0.25,0,0,"PPD",4,2,5,0.757610662365494,0.328424294766705,0.941962434878858,0.209205470659339,157.599,NA
55,0.25,0,0,"PPD",4,2,5,0.743218036726165,0.326217939167191,0.940865940328706,0.215175482123249,111.644,NA
56,0.25,0,0,"PPD",4,2,5,0.735396326034252,0.33220012604232,0.951601835973404,0.213417983617857,203.622,NA
57,0.25,0,0,"PPD",4,2,5,0.737319015351115,0.323516840389486,0.92974793850901,0.219471772089467,150.176,NA
58,0.25,0,0,"PPD",4,2,5,0.755505435324057,0.327309930236968,0.938800281058108,0.22162239062351,111.247,NA
59,0.25,0,0,"PPD",4,2,5,0.734624606530337,0.325647110132894,0.933430938363743,0.215453382581096,112.215,NA
60,0.25,0,0,"PPD",4,2,5,0.746183850681246,0.32471097420637,0.936799760251805,0.216972756113986,112.384,NA
61,0.25,0,0,"PPD",4,2,5,0.750523114249778,0.32336694498599,0.941189502032004,0.226044631683851,133.861,NA
62,0.25,0,0,"PPD",4,2,5,0.758231303370925,0.329442095242018,0.938250771967632,0.216714076218157,162.103,NA
63,0.25,0,0,"PPD",4,2,5,0.75882102345595,0.328439010474595,0.942985283686016,0.211914945217578,146.211,NA
64,0.25,0,0,"PPD",4,2,5,0.734960049910956,0.320201017141884,0.942288362559779,0.208230574369692,201.855,NA
65,0.25,0,0,"PPD",4,2,5,0.71456697784137,0.322084485912218,0.928832584028172,0.221102086464182,110.791,NA
66,0.25,0,0,"PPD",4,2,5,0.742465075586788,0.327137079423599,0.93536897295074,0.218582314088559,179.826,NA
67,0.25,0,0,"PPD",4,2,5,0.735215170222345,0.319408935574754,0.930595715548941,0.217122382289831,202.327,NA
68,0.25,0,0,"PPD",4,2,5,0.733171338892137,0.323975685595422,0.92974292034571,0.213897665076755,204.791,NA
69,0.25,0,0,"PPD",4,2,5,0.75550625609653,0.324681668827417,0.930682858545632,0.223747797995417,111.232,NA
70,0.25,0,0,"PPD",4,2,5,0.748459321383718,0.333161852361939,0.934809368034425,0.22433637540039,112.119,NA
71,0.25,0,0,"PPD",4,2,5,0.740887279702947,0.319942762658312,0.941418932141741,0.220357778402912,133.889,NA
72,0.25,0,0,"PPD",4,2,5,0.726158418848395,0.316354301297002,0.943182036991498,0.216305269188966,122.236,NA
73,0.25,0,0,"PPD",4,2,5,0.740040170410604,0.323067107201594,0.932506259288987,0.209999587733039,110.485,NA
74,0.25,0,0,"PPD",4,2,5,0.753162577175621,0.341688153142878,0.944472829330843,0.218350287131421,183.541,NA
75,0.25,0,0,"PPD",4,2,5,0.751269503915593,0.32815642726277,0.943152887293308,0.217643487966229,127.554,NA
76,0.25,0,0,"PPD",4,2,5,0.746991909371055,0.326583587232299,0.939520261802412,0.212813138802783,164.429,NA
77,0.25,0,0,"PPD",4,2,5,0.744965203500278,0.320830744484706,0.94111661197644,0.211501707886689,201.61,NA
78,0.25,0,0,"PPD",4,2,5,0.771183233984579,0.315732313935755,0.937037225929779,0.22059575821113,111.958,NA
79,0.25,0,0,"PPD",4,2,5,0.763991065767689,0.319537628753179,0.931627324950557,0.215236522617154,110.795,NA
80,0.25,0,0,"PPD",4,2,5,0.761877215600794,0.318425913239665,0.944177910035779,0.221003721785077,162.667,NA
81,0.25,0,0,"PPD",4,2,5,0.761986072445446,0.320002237304413,0.934502920645999,0.213901074266165,112.902,NA
82,0.25,0,0,"PPD",4,2,5,0.747826671149042,0.319887493860528,0.939494618731033,0.212287436413086,154.184,NA
83,0.25,0,0,"PPD",4,2,5,0.742148354424821,0.301793258317507,0.944588666725714,0.219116926448302,111.335,NA
84,0.25,0,0,"PPD",4,2,5,0.731251527006599,0.325238487401579,0.949553045139889,0.222158324908666,111.621,NA
85,0.25,0,0,"PPD",4,2,5,0.736444327272416,0.325024839370456,0.936274952744014,0.206212040407187,110.786,NA
